patch_id,x0,y0,patch_size_L0_w,patch_size_L0_h,canc_pred,canc_conf,prob_0,prob_1,prob_2,prob_3
AML_wsi_sample_x164864_y239104_l0_p512,164864,239104,512,512,0,0.963239,0.963239,0.018164748,0.005948985,0.012647201
AML_wsi_sample_x147968_y350720_l0_p512,147968,350720,512,512,0,0.9447739,0.9447739,0.028659724,0.01654204,0.01002427
AML_wsi_sample_x147456_y350208_l0_p512,147456,350208,512,512,0,0.9160797,0.9160797,0.027704272,0.03540646,0.020809501
AML_wsi_sample_x47616_y277504_l0_p512,47616,277504,512,512,0,0.914719,0.914719,0.04085305,0.017632365,0.026795596
AML_wsi_sample_x64512_y343040_l0_p512,64512,343040,512,512,0,0.91316307,0.91316307,0.018763022,0.053877726,0.014196216
