patch_id,x0,y0,patch_size_L0_w,patch_size_L0_h,canc_pred,canc_conf,prob_0,prob_1,prob_2,prob_3
CML_wsi_sample_x93696_y245760_l0_p512,93696,245760,512,512,2,0.94052076,0.03054301,0.016874367,0.94052076,0.01206193
CML_wsi_sample_x24576_y347648_l0_p512,24576,347648,512,512,2,0.9373193,0.019077646,0.02652279,0.9373193,0.017080298
CML_wsi_sample_x85504_y254976_l0_p512,85504,254976,512,512,2,0.93704075,0.027214635,0.019144464,0.93704075,0.016600171
CML_wsi_sample_x169472_y238592_l0_p512,169472,238592,512,512,2,0.93543065,0.019072903,0.020765927,0.93543065,0.024730545
CML_wsi_sample_x71680_y285696_l0_p512,71680,285696,512,512,2,0.9353383,0.033719137,0.009857317,0.9353383,0.021085162
