patch_id,x0,y0,patch_size_L0_w,patch_size_L0_h,canc_pred,canc_conf,prob_0,prob_1,prob_2,prob_3
ALL_wsi_sample_x120832_y125440_l0_p512,120832,125440,512,512,1,0.91349083,0.04714552,0.91349083,0.015950633,0.023413101
ALL_wsi_sample_x183808_y133632_l0_p512,183808,133632,512,512,1,0.91011125,0.043571502,0.91011125,0.027630039,0.018687265
ALL_wsi_sample_x145920_y140800_l0_p512,145920,140800,512,512,1,0.8996787,0.067892335,0.8996787,0.016622197,0.01580672
ALL_wsi_sample_x182272_y138240_l0_p512,182272,138240,512,512,1,0.89794016,0.052796923,0.89794016,0.027676564,0.021586405
ALL_wsi_sample_x159744_y183296_l0_p512,159744,183296,512,512,1,0.89579797,0.061927006,0.89579797,0.028424775,0.01385025
